都道府県,年度,排出量合計,CO2排出原単位要因,エネルギー消費効率要因,一人当たり総生産要因,人口要因,CO2排出原単位要因_変化率,エネルギー消費効率要因_変化率,一人当たり総生産要因_変化率,人口要因_変化率,排出量増減,CO2排出原単位要因_増減,エネルギー消費効率要因_増減,一人当たり総生産要因_増減,人口要因_増減,排出量増減率
山梨県,2012,6614.4,2.927186926326062e-07,7060.16039684152,3.7551107565233717,852320,0.06732804060729249,0.019545149186011274,-0.02276778813905886,-0.00598169687060105,357.0,413.5336965576089,120.04772038153946,-139.84140198735713,-36.74001495179124,0.05705244989931921
山梨県,2013,6669.0,2.9974638884662197e-07,6805.667294434211,3.858662269571519,847226,0.09295283813091063,-0.017205745053834615,0.0041805179693014454,-0.011922574986967156,411.60000000000036,562.5963956736796,-104.13765030536099,25.302555455764246,-72.16130082408252,0.06577811870745044
山梨県,2014,6145.6,3.003531865768243e-07,6308.905605151568,3.85582642294546,841125,0.095165379552837,-0.08894221308594123,0.0034425155905252838,-0.0190378669751787,-111.79999999999927,1135.2197515702323,-1060.9841259285856,41.06547687631496,-227.1011025179609,-0.017866845654744667
山梨県,2015,6051.2,2.989848277013232e-07,6015.6353894907115,4.029589306888003,834930,0.09017598928089685,-0.13129284097132546,0.04866266978158852,-0.026262786474764096,-206.19999999999982,993.4455521124489,-1446.4192733264701,536.1040475846188,-289.33032637059733,-0.03295298366733784
山梨県,2016,5704.3,2.8826164768407255e-07,5905.585594531883,4.033039857013041,830845,0.051076502282106806,-0.14718493524575355,0.04956064295720526,-0.031026918219042764,-553.0999999999995,364.17041144542316,-1049.4140364382665,353.36248432868786,-221.21885933584397,-0.08839134464793676
山梨県,2017,5721.4,2.8343671625123934e-07,5789.211492593366,4.223652126302631,825541,0.03348355471201792,-0.16399031139207634,0.099165691011276,-0.037212708860818546,-536.0,261.7971869352307,-1282.187706064221,775.3447676187832,-290.95424848979263,-0.08565858024099467
山梨県,2018,5511.2,2.8179889735257536e-07,5462.422400217782,4.362453576894209,820712,0.027511643522271454,-0.21118134037882258,0.13528746141058562,-0.04284453069512006,-746.1999999999998,225.03470488660975,-1727.382465218252,1106.5996085891472,-350.4518482575046,-0.11925080704445934
山梨県,2019,5231.6,2.8175187425540014e-07,5252.555890551317,4.33695128100375,815103,0.027340185151369562,-0.24148778809108212,0.1286507290646031,-0.049386027623800365,-1025.7999999999993,207.92525677171582,-1836.5424399313802,978.4036108945683,-375.58642773490334,-0.16393390225972437
山梨県,2020,5051.3,2.7849167226159446e-07,5140.567231172214,4.356210199339732,809974,0.015452645702701634,-0.2576598703124561,0.13366268119699393,-0.055367724494401416,-1206.0999999999995,113.70372834194733,-1895.9140371351957,983.5173526059816,-407.4070438127328,-0.1927477866206411
長野県,2011,16709.2,2.8586028738376435e-07,7343.366461658392,3.7153886116049737,2142409,0.0,0.0,0.0,0.0,0.0,,,,,0.0
長野県,2012,16049.1,2.88458871921296e-07,7107.719481865463,3.671030497101488,2132301,0.00909040063352022,-0.03208977531263108,-0.011939024188461374,-0.004718053368894548,-660.1000000000004,151.31392547184967,-534.1491608366592,-198.73058285219707,-78.53418178299381,-0.03950518277356189
長野県,2013,16090.2,2.8849925920816585e-07,6999.832315415868,3.754069217931792,2122398,0.009231683940969066,-0.04678156102329964,0.01041091804125144,-0.009340420059848517,-619.0,156.6477418283289,-793.8124767229411,176.65756452995012,-158.49282963533787,-0.037045459986115435
長野県,2014,15638.7,2.917680737012589e-07,6701.330078128502,3.7898091254378117,2110496,0.02066669131121187,-0.08743079715306702,0.020030344497581322,-0.014895848551793798,-1070.5,358.97830743958576,-1518.6639751605856,347.9250285832001,-258.73936086220004,-0.0640665022861657
長野県,2015,15345.4,2.9248950808212255e-07,6330.569890498317,3.9486917311001886,2098804,0.02319042200310444,-0.1379199276582677,0.06279373273807624,-0.020353256544385315,-1363.800000000001,437.5089520974972,-2601.9881404078637,1184.6623664221518,-383.9831781117866,-0.08161970650898911
長野県,2016,14769.8,2.8226870479226084e-07,6303.327259788945,3.9695024506873877,2091250,-0.012564118732175777,-0.14162975622962018,0.06839495558787373,-0.02387919393542503,-1939.4000000000015,-222.1669495759376,-2504.3898089038007,1209.404254548002,-422.24749606826504,-0.11606779498719276
長野県,2017,14675.5,2.8131211460750835e-07,6112.782705659561,4.098708517655285,2082181,-0.01591047437152445,-0.16757760387201512,0.10317087823680572,-0.02811227921465976,-2033.7000000000007,-298.41637128314346,-3143.0804191050233,1935.0698405714902,-527.2730501833241,-0.12171139252627299
長野県,2018,14319.9,2.738501500099077e-07,6066.849453052411,4.1585005705242795,2072655,-0.04201401140317605,-0.17383267133282873,0.11926396004317036,-0.032558675771059586,-2389.300000000001,-777.3191140846633,-3216.1522684118236,2206.5533060710727,-602.3819235745873,-0.14299308165561492
長野県,2019,13574.7,2.6987648352578525e-07,5946.863450468552,4.104006971515188,2060958,-0.05591474074368718,-0.19017204418182607,0.10459696159275766,-0.03801841758506429,-3134.5,-976.3604944539838,-3320.707001751691,1826.429663820254,-663.8621676145793,-0.1875912670863955
